Timestamp,User ID,Scene,Video A Filename,Video B Filename,Video A Score,Video B Score,Video A Comment,Video B Comment,Video A Is Real,Video B Is Real,Which Video Real,Gameplay Affected,Inform Preference,Visual Cues,Other Cues,Video List Version,Video List Hash,Video List Timestamp
2025-05-23T18:09:13.828Z,NmxkPu7tqf,Pair 10,videos/interpolated_rife_1280_720_30fps.mp4,videos/original_video.mp4,3,4,N/A,N/A,FALSE,FALSE,both,no,no,movement,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-06-15T14:09:27.190Z,ADBKIeixrc,Pair 27,videos/video_with_degrad_mk11_1080p.mp4,videos/original_video_1280_720.mp4,5,4,N/A,N/A,FALSE,FALSE,none,no,no,textures,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-06-15T14:09:39.735Z,ADBKIeixrc,Pair 6,videos/original_video_upsampled_from_1280_720_to_1920_1080.mp4,videos/TEMP_TEST.mp4,4,5,N/A,N/A,FALSE,FALSE,none,no,no,background,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-06-15T14:09:39.735Z,ADBKIeixrc,Pair 6,videos/original_video_upsampled_from_1280_720_to_1920_1080.mp4,videos/TEMP_TEST.mp4,4,5,N/A,N/A,FALSE,FALSE,none,no,no,background,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-06-24T13:02:23.598Z,4g8xB1WqXd,Pair 9,videos/interpolated_rife_1280_720_30fps.mp4,videos/interpolated_video_film.mp4,4,3,N/A,N/A,FALSE,FALSE,both,no,no,animation,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-08-21T17:12:13.323Z,ubsTyt2Fwz,Pair 19,videos/original_video.mp4,videos/interpolated_video_film.mp4,5,4,dfh,dhf,FALSE,FALSE,a,not-applicable,yes,none,dfghdfh,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-08-21T17:12:35.547Z,ubsTyt2Fwz,Pair 5,videos/original_video_1280_720.mp4,videos/TEMP_TEST.mp4,5,3,N/A,N/A,FALSE,FALSE,both,yes,yes,none,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-08-21T17:13:14.522Z,ubsTyt2Fwz,Pair 17,videos/original_video_upsampled_from_1280_720_to_1920_1080.mp4,videos/interpolated_video_addWeighted.mp4,4,3,N/A,N/A,FALSE,FALSE,both,no,yes,"lighting,animation,background,movement,textures,artifacts",ewrwer,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-08-21T17:13:30.050Z,ubsTyt2Fwz,Pair 24,videos/original_video_upsampled_from_1280_720_to_1920_1080.mp4,videos/original_video.mp4,5,4,N/A,N/A,FALSE,FALSE,both,yes,yes,none,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-08-21T17:13:46.474Z,ubsTyt2Fwz,Pair 9,videos/interpolated_video_film.mp4,videos/interpolated_rife_1280_720_30fps.mp4,5,5,N/A,N/A,FALSE,FALSE,both,no,yes,none,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-09-01T11:28:56.016Z,vmkuI1hCJP,Pair 23,videos/original_video_1280_720.mp4,videos/original_video.mp4,4,4,N/A,N/A,FALSE,FALSE,both,maybe,does-not-matter,lighting,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-09-01T12:23:42.043Z,3tgRJW8qhm,Pair 9,videos/interpolated_rife_1280_720_30fps.mp4,videos/interpolated_video_film.mp4,4,4,N/A,N/A,FALSE,FALSE,none,yes,yes,background,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-09-01T12:23:51.499Z,3tgRJW8qhm,Pair 22,videos/interpolated_video_film.mp4,videos/video_with_degrad_mk11_1080p.mp4,3,4,N/A,N/A,FALSE,FALSE,both,yes,no,artifacts,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-09-01T12:24:11.148Z,3tgRJW8qhm,Pair 11,videos/interpolated_rife_1280_720_30fps.mp4,videos/original_video_1280_720.mp4,4,3,N/A,N/A,FALSE,FALSE,b,yes,no,artifacts,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-09-01T12:24:27.947Z,3tgRJW8qhm,Pair 10,videos/interpolated_rife_1280_720_30fps.mp4,videos/original_video.mp4,3,4,N/A,N/A,FALSE,FALSE,both,no,no,background,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-09-01T12:24:41.522Z,3tgRJW8qhm,Pair 16,videos/interpolated_video_addWeighted.mp4,videos/original_video_1280_720.mp4,2,5,N/A,N/A,FALSE,FALSE,a,not-applicable,yes,background,N/A,1.0.1748023680,4d8c354974be9f7c,2025-05-23T18:08:00.109046+00:00
2025-09-01T15:21:24.604Z,Y3SWrNg5gG,Pair 24,videos/original_video_upsampled_from_1280_720_to_1920_1080.mp4,videos/original_video.mp4,4,2,N/A,N/A,FALSE,FALSE,none,yes,yes,movement,N/A,1.0.1756739080,61762b47aa9fe755,2025-09-01T15:04:40.875466+00:00
2025-09-01T15:21:34.060Z,Y3SWrNg5gG,Pair 23,videos/original_video_1280_720.mp4,videos/original_video.mp4,4,2,N/A,N/A,FALSE,FALSE,both,no,no,none,N/A,1.0.1756739080,61762b47aa9fe755,2025-09-01T15:04:40.875466+00:00
